label,count,mean,std,min,25%,50%,75%,max
case,94030.0,-1.14008,0.911816,-6.0364,-1.678324,-1.042092,-0.501849,1.803989
control,403552.0,1.681968,1.353198,-2.546932,0.672145,1.558597,2.565948,9.11025
